Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,73.599998,73.919998,72.120003,73.320000,70.626244,2850200
2015-01-05,73.099998,73.400002,72.050003,72.129997,69.479965,2924500
2015-01-06,72.199997,72.550003,68.709999,69.830002,67.264465,4746300
2015-01-07,71.470001,71.889999,70.309998,70.980003,68.372223,2896200
2015-01-08,72.000000,74.739998,71.750000,74.199997,71.473930,3773000
2015-01-09,74.739998,74.760002,72.510002,74.080002,71.358330,2861400
2015-01-12,74.150002,74.250000,71.610001,72.320000,69.662987,2738100
2015-01-13,74.000000,74.800003,72.099998,72.839996,70.163872,3034500
2015-01-14,71.370003,72.669998,70.599998,71.599998,68.969429,3062200
2015-01-15,72.019997,72.959999,70.809998,71.330002,68.709366,2733800
2015-01-16,71.059998,74.000000,71.029999,73.849998,71.136780,3080700
2015-01-20,74.650002,75.900002,74.470001,75.559998,72.783958,3613200
2015-01-21,75.599998,77.339996,75.019997,77.300003,74.460022,3158300
2015-01-22,77.800003,79.419998,75.570000,79.330002,76.415451,6670100
2015-01-23,78.410004,82.779999,78.260002,80.860001,77.889229,7661600
2015-01-26,80.860001,82.500000,79.650002,82.480003,79.449715,3533800
2015-01-27,81.239998,82.500000,81.110001,81.519997,78.524979,3332600
2015-01-28,83.500000,83.949997,81.650002,81.830002,78.823601,4507300
2015-01-29,82.220001,84.550003,81.400002,84.190002,81.096886,4108200
2015-01-30,84.000000,84.949997,82.949997,83.050003,79.998787,3505700
2015-02-02,83.070000,83.730003,80.150002,82.019997,79.006607,4119000
2015-02-03,81.889999,82.900002,80.720001,82.269997,79.373230,2784700
2015-02-04,81.430000,82.849998,81.379997,82.300003,79.402184,2419800
2015-02-05,82.599998,82.599998,80.519997,81.400002,78.533859,3302100
2015-02-06,81.379997,83.040001,80.690002,81.440002,78.572464,2927300
2015-02-09,80.629997,80.870003,77.199997,79.080002,76.295555,5478500
2015-02-10,80.120003,81.760002,78.860001,81.639999,78.765419,3230200
2015-02-11,82.059998,82.730003,81.199997,82.360001,79.460060,2444900
2015-02-12,83.080002,83.250000,81.459999,82.419998,79.517960,2251300
2015-02-13,82.940002,82.980003,80.839996,81.849998,78.968025,2637800
2015-02-17,81.680000,82.980003,81.449997,82.739998,79.826683,1867000
2015-02-18,82.870003,82.970001,81.910004,82.559998,79.653015,1643600
2015-02-19,82.470001,83.330002,82.190002,83.059998,80.135406,1745100
2015-02-20,82.809998,84.400002,82.809998,84.300003,81.331772,2346000
2015-02-23,84.889999,86.089996,84.150002,86.010002,82.981537,3430100
2015-02-24,86.000000,88.269997,84.900002,88.180000,85.075127,3793700
2015-02-25,88.250000,88.930000,87.279999,87.730003,84.640976,3104900
