Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,99.820000,100.730003,96.849998,98.809998,94.774902,327000
2015-01-05,98.949997,100.989998,98.430000,99.400002,95.340820,210200
2015-01-06,99.800003,102.480003,98.620003,101.099998,96.971397,419900
2015-01-07,101.980003,106.470001,101.709999,102.620003,98.429314,648100
2015-01-08,102.889999,104.989998,102.629997,103.129997,98.918488,419300
2015-01-09,103.070000,104.769997,102.230003,103.580002,99.350121,300700
2015-01-12,104.589996,104.889999,102.639999,104.010002,99.762550,467000
2015-01-13,104.410004,106.489998,103.629997,104.870003,100.587433,388200
2015-01-14,103.730003,106.970001,103.300003,104.860001,100.577827,442500
2015-01-15,105.610001,107.900002,104.660004,106.699997,102.342697,568100
2015-01-16,106.570000,110.820000,106.379997,108.699997,104.261017,748100
2015-01-20,109.709999,113.410004,109.010002,111.070000,106.534241,546500
2015-01-21,111.339996,112.769997,110.500000,112.389999,107.800346,298600
2015-01-22,113.870003,113.870003,110.000000,111.870003,107.301590,540000
2015-01-23,111.910004,114.589996,111.910004,112.900002,108.289528,361900
2015-01-26,112.980003,113.769997,109.779999,111.059998,106.524651,807400
2015-01-27,110.290001,111.080002,109.099998,110.160004,105.661407,431300
2015-01-28,110.760002,111.849998,107.930000,108.599998,104.165115,366800
2015-01-29,108.459999,110.459999,107.309998,109.169998,104.711845,360500
2015-01-30,108.370003,109.919998,107.250000,109.250000,104.788574,331000
2015-02-02,109.540001,113.250000,107.970001,112.889999,108.279922,354500
2015-02-03,112.360001,114.870003,111.000000,114.809998,110.121513,379600
2015-02-04,114.889999,118.470001,114.650002,116.529999,111.771271,497500
2015-02-05,116.269997,116.309998,114.260002,115.879997,111.147812,364300
2015-02-06,116.349998,116.349998,111.540001,111.639999,107.080978,431700
2015-02-09,110.110001,110.110001,105.639999,106.940002,102.572906,868900
2015-02-10,110.419998,116.230003,109.330002,114.849998,110.159882,1322100
2015-02-11,113.949997,116.680000,113.699997,116.070000,111.330070,654900
2015-02-12,116.949997,117.449997,111.860001,113.480003,108.845833,481100
2015-02-13,113.599998,114.360001,111.919998,112.989998,108.375832,331500
2015-02-17,113.000000,115.129997,111.779999,115.010002,110.313354,241400
2015-02-18,115.120003,115.279999,113.680000,114.989998,110.294167,135200
2015-02-19,115.330002,115.570000,110.430000,110.599998,106.083443,324300
2015-02-20,110.989998,110.989998,108.430000,110.080002,105.584686,227500
2015-02-23,110.559998,112.000000,109.370003,111.650002,107.471321,416600
2015-02-24,111.199997,111.250000,107.019997,109.550003,105.449921,477300
2015-02-25,109.669998,109.830002,101.680000,101.980003,98.163246,560900
2015-02-26,102.000000,107.029999,102.000000,104.739998,100.819939,683100
2015-02-27,105.309998,106.019997,98.839996,100.040001,96.295845,703800
2015-03-02,101.199997,101.760002,96.610001,97.099998,93.465889,1027100
2015-03-03,96.199997,98.660004,95.290001,96.279999,92.676559,889000
2015-03-04,95.150002,97.830002,95.150002,97.040001,93.408134,693000
2015-03-05,97.849998,101.389999,97.570000,101.099998,97.316177,495500
2015-03-06,101.660004,102.769997,100.000000,100.760002,96.988899,388500
2015-03-09,100.690002,101.629997,99.889999,100.010002,96.266968,544700
2015-03-10,99.800003,100.550003,98.150002,99.489998,95.766434,365500
2015-03-11,99.239998,99.239998,97.330002,97.470001,93.822021,298300
2015-03-12,98.339996,98.339996,94.180000,94.830002,91.280838,515700
2015-03-13,94.269997,97.110001,94.169998,95.730003,92.147156,551100
2015-03-16,97.000000,99.730003,96.529999,99.300003,95.583534,585600
2015-03-17,99.379997,100.610001,98.000000,99.519997,95.795296,341200
2015-03-18,99.720001,102.120003,99.110001,100.099998,96.353607,557100
2015-03-19,100.599998,100.870003,97.169998,98.180000,94.505447,471800
2015-03-20,98.290001,101.849998,98.010002,100.669998,96.902267,491600
2015-03-23,101.750000,104.480003,101.540001,103.870003,99.982491,403700
2015-03-24,103.139999,104.389999,102.040001,102.650002,98.808167,365500
2015-03-25,102.790001,103.970001,99.430000,99.949997,96.209221,368400
2015-03-26,100.080002,102.379997,98.760002,101.459999,97.662697,355700
2015-03-27,102.040001,104.730003,101.459999,103.830002,99.944000,511100
2015-03-30,104.000000,105.589996,102.550003,105.019997,101.089462,354500
2015-03-31,103.849998,107.339996,103.150002,105.300003,101.358994,849300
2015-04-01,104.730003,108.209999,104.730003,107.059998,103.053116,354300
2015-04-02,107.879997,111.760002,107.199997,111.510002,107.336563,1048000
2015-04-06,111.010002,112.000000,109.129997,111.070000,106.913033,504700
2015-04-07,111.000000,116.440002,109.900002,112.000000,107.808220,815700
2015-04-08,113.629997,121.000000,113.629997,117.040001,112.659599,1319800
2015-04-09,119.510002,120.690002,116.570000,120.150002,115.653198,757100
2015-04-10,119.400002,122.800003,118.410004,118.800003,114.353722,888700
2015-04-13,118.500000,119.330002,116.830002,117.820000,113.410408,357400
2015-04-14,117.589996,117.980003,113.519997,116.500000,112.139793,694900
2015-04-15,116.980003,118.000000,114.830002,115.739998,111.408249,418200
2015-04-16,116.000000,117.370003,114.389999,116.239998,111.889526,797900
2015-04-17,114.610001,116.230003,110.610001,112.680000,108.462776,736300
2015-04-20,114.000000,114.300003,112.000000,113.919998,109.656364,276800
2015-04-21,114.949997,116.650002,114.580002,115.230003,110.917320,292200
2015-04-22,116.209999,116.570000,112.440002,114.639999,110.349411,659700
2015-04-23,114.389999,118.959999,113.709999,118.930000,114.478867,752000
2015-04-24,119.050003,124.180000,117.559998,122.190002,117.616844,592300
2015-04-27,122.980003,124.379997,122.199997,123.260002,118.646790,522600
2015-04-28,124.000000,124.150002,121.300003,123.730003,119.099220,349000
2015-04-29,123.730003,127.779999,122.500000,125.000000,120.321678,627600
2015-04-30,125.910004,128.240005,124.949997,128.190002,123.392288,700900
2015-05-01,128.350006,128.630005,125.260002,126.389999,121.659660,624100
2015-05-04,127.309998,130.789993,126.389999,127.980003,123.190155,581900
2015-05-05,128.029999,128.369995,125.120003,125.300003,120.610451,594900
2015-05-06,125.599998,125.900002,122.010002,123.300003,118.685303,633900
2015-05-07,124.519997,128.139999,123.989998,127.500000,122.728104,1034700
2015-05-08,130.000000,130.389999,126.519997,129.229996,124.393356,573600
2015-05-11,129.000000,129.949997,127.040001,128.889999,124.066086,561300
2015-05-12,129.229996,129.990005,127.589996,127.750000,122.968758,567600
2015-05-13,127.559998,131.520004,127.410004,130.000000,125.134544,1086600
2015-05-14,136.639999,143.929993,136.059998,140.830002,135.559250,3053100
2015-05-15,140.860001,142.570007,139.179993,141.119995,135.838348,885500
2015-05-18,140.770004,142.449997,139.500000,141.320007,136.030899,597800
2015-05-19,143.000000,143.399994,140.059998,140.320007,135.068314,592900
2015-05-20,141.830002,145.110001,141.039993,144.130005,138.735718,1295600
2015-05-21,145.559998,150.300003,144.589996,149.470001,143.875839,1134000
2015-05-22,149.949997,149.949997,146.000000,146.199997,141.096375,998700
2015-05-26,148.919998,149.360001,144.110001,144.389999,139.349564,1002800
2015-05-27,145.509995,145.589996,142.009995,143.869995,138.847717,985000
2015-05-28,142.190002,144.500000,139.649994,141.759995,136.811386,767800
2015-05-29,141.910004,143.500000,140.610001,141.410004,136.473572,505800
2015-06-01,143.690002,146.080002,141.500000,144.169998,139.137222,905400
2015-06-02,143.130005,145.169998,143.100006,144.429993,139.388168,917600
2015-06-03,146.289993,146.399994,143.850006,144.139999,139.108292,709100
2015-06-04,143.330002,144.389999,142.699997,143.179993,138.181824,779400
2015-06-05,142.600006,146.960007,142.600006,145.589996,140.507675,1426700
2015-06-08,145.960007,150.020004,142.919998,144.070007,139.040741,894800
2015-06-09,143.699997,145.080002,140.889999,144.210007,139.175858,434700
2015-06-10,144.539993,147.470001,144.000000,147.100006,141.964966,596700
2015-06-11,147.839996,150.679993,146.509995,148.529999,143.345047,1213400
2015-06-12,148.000000,151.339996,146.300003,150.009995,144.773361,1273700
2015-06-15,147.600006,150.350006,146.270004,148.190002,143.016953,950700
2015-06-16,146.839996,151.419998,146.839996,149.860001,144.628616,618400
2015-06-17,151.990005,154.880005,151.009995,151.270004,145.989395,928600
2015-06-18,151.000000,151.860001,149.500000,150.740005,145.477890,608600
