Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,53.560001,54.080002,53.009998,53.480000,49.507168,4020100
2015-01-05,53.189999,53.490002,52.599998,52.650002,48.738819,5599300
2015-01-06,52.889999,53.020000,51.720001,51.779999,47.933441,5468400
2015-01-07,52.009998,52.869999,51.790001,52.709999,48.794373,4577100
2015-01-08,53.130001,53.950001,53.009998,53.570000,49.590481,6295200
2015-01-09,53.480000,53.980000,53.090000,53.599998,49.618256,3913700
2015-01-12,53.740002,53.750000,52.900002,53.119999,49.173916,4282500
2015-01-13,53.570000,54.279999,52.459999,52.790001,48.868423,5013900
2015-01-14,52.549999,53.310001,52.240002,52.709999,48.794373,5191400
2015-01-15,52.910000,53.240002,52.200001,52.389999,48.498138,5796300
2015-01-16,52.480000,53.419998,52.119999,53.290001,49.331276,4988700
2015-01-20,53.490002,54.150002,53.189999,53.810001,49.812653,6544700
2015-01-21,53.299999,54.470001,53.200001,54.279999,50.247734,5468900
2015-01-22,54.320000,54.980000,53.340000,54.970001,50.886478,5484200
2015-01-23,54.959999,55.290001,54.540001,55.060001,50.969791,4841300
2015-01-26,54.700001,55.299999,54.360001,55.049999,50.960533,6137000
2015-01-27,54.529999,55.459999,54.209999,54.830002,50.756874,8532600
2015-01-28,54.750000,55.250000,53.849998,53.939999,50.244560,7393500
2015-01-29,53.720001,54.860001,53.410000,54.669998,50.924534,5044900
2015-01-30,53.980000,54.599998,53.349998,53.450001,49.788132,12515800
2015-02-02,53.500000,53.759998,52.410000,53.490002,49.825390,8385600
2015-02-03,53.709999,54.480000,53.610001,54.439999,50.710304,5891600
2015-02-04,54.009998,54.900002,54.009998,54.619999,50.877972,7962500
2015-02-05,54.639999,55.340000,54.480000,55.310001,51.520699,5060000
2015-02-06,55.290001,55.450001,54.270000,54.360001,50.635784,7579500
2015-02-09,54.310001,54.759998,54.029999,54.270000,50.551960,5146400
2015-02-10,54.750000,55.869999,54.570000,55.820000,51.995758,5654400
2015-02-11,55.639999,56.230000,55.500000,56.000000,52.163429,4956100
2015-02-12,56.490002,57.500000,56.299999,57.439999,53.504768,7069500
2015-02-13,57.599998,57.980000,57.209999,57.970001,53.998459,5330900
2015-02-17,57.669998,58.459999,57.549999,58.200001,54.212704,7962600
2015-02-18,57.799999,58.139999,57.599998,57.939999,53.970512,3264900
2015-02-19,57.889999,58.189999,57.740002,58.040001,54.063660,2422300
2015-02-20,58.040001,58.540001,57.590000,58.520000,54.510777,3630300
2015-02-23,58.459999,58.490002,57.910000,58.270000,54.277901,3053400
2015-02-24,58.090000,59.009998,58.000000,58.959999,54.920631,4426900
2015-02-25,58.919998,59.290001,58.750000,59.099998,55.051044,3921100
2015-02-26,59.270000,59.490002,58.910000,59.419998,55.349113,5274000
2015-02-27,59.490002,59.490002,58.720001,58.799999,54.771599,6494900
2015-03-02,59.070000,59.990002,58.959999,59.939999,55.833500,4572500
2015-03-03,59.799999,59.810001,58.500000,58.570000,54.557354,6088200
2015-03-04,58.520000,58.669998,57.860001,58.320000,54.324482,4461300
2015-03-05,58.299999,58.790001,58.020000,58.340000,54.343121,3685800
2015-03-06,58.200001,58.310001,57.450001,57.639999,53.691071,4476900
2015-03-09,57.759998,58.630001,57.610001,58.419998,54.417622,4034000
2015-03-10,57.849998,58.169998,57.070000,57.099998,53.188061,5567300
2015-03-11,57.430000,57.770000,57.119999,57.169998,53.253265,3151500
2015-03-12,56.500000,57.340000,56.349998,57.220001,53.299843,3707900
2015-03-13,57.389999,57.500000,56.610001,57.119999,53.206692,4805400
2015-03-16,57.490002,58.439999,57.380001,58.330002,54.333797,5162700
2015-03-17,58.189999,58.230000,57.480000,57.970001,53.998459,3231400
2015-03-18,58.169998,58.689999,56.930000,58.299999,54.305851,6198700
2015-03-19,58.349998,58.730000,58.090000,58.529999,54.520092,3411400
2015-03-20,58.900002,59.529999,58.730000,59.279999,55.218716,9150800
2015-03-23,59.180000,59.259998,58.630001,58.660000,54.641190,3731400
2015-03-24,58.790001,59.020000,58.410000,58.439999,54.436268,3665700
2015-03-25,58.410000,58.599998,55.730000,55.730000,51.911930,11204000
2015-03-26,55.090000,56.250000,54.619999,55.799999,51.977127,6830800
2015-03-27,55.770000,57.180000,55.560001,56.759998,52.871357,5052000
2015-03-30,57.099998,58.119999,56.840000,58.000000,54.026405,5336100
2015-03-31,57.740002,57.910000,57.080002,57.189999,53.271904,4905300
2015-04-01,57.049999,57.230000,56.230000,56.540001,52.666431,5282400
2015-04-02,56.680000,57.200001,56.419998,56.720001,52.834103,3545900
2015-04-06,56.189999,57.150002,55.860001,56.810001,52.917931,3120500
2015-04-07,56.689999,57.430000,56.570000,56.939999,53.039028,3259600
2015-04-08,56.799999,57.290001,56.560001,56.970001,53.066971,4142200
2015-04-09,56.720001,57.840000,56.529999,57.779999,53.821476,4362200
2015-04-10,57.830002,57.849998,57.540001,57.700001,53.746956,3410800
2015-04-13,57.820000,57.990002,57.189999,57.209999,53.290524,3004400
2015-04-14,57.150002,57.410000,56.580002,56.750000,52.862045,3875100
2015-04-15,57.110001,58.689999,56.990002,58.500000,54.492157,6654600
2015-04-16,58.139999,58.580002,58.080002,58.410000,54.408318,4058800
2015-04-17,57.840000,58.200001,57.200001,57.330002,53.402309,5231200
2015-04-20,57.599998,58.529999,57.599998,58.169998,54.184757,3115200
2015-04-21,58.869999,58.869999,58.029999,58.160000,54.175442,2853700
2015-04-22,58.540001,58.860001,57.970001,58.730000,54.706402,4473500
2015-04-23,54.299999,54.930000,53.930000,54.720001,50.971123,22987500
2015-04-24,54.680000,54.830002,54.130001,54.730000,50.980427,10533600
2015-04-27,55.320000,56.299999,55.090000,55.560001,51.753567,8397300
2015-04-28,55.310001,55.520000,54.639999,55.090000,51.631733,6729300
2015-04-29,54.669998,55.320000,54.369999,55.020000,51.566128,5276300
2015-04-30,54.910000,55.150002,53.919998,54.209999,50.806973,6756900
2015-05-01,54.709999,55.430000,54.419998,55.310001,51.837929,5726700
2015-05-04,55.299999,55.610001,55.009998,55.299999,51.828548,4060500
2015-05-05,54.970001,55.029999,53.849998,54.009998,50.619534,7970100
2015-05-06,54.130001,54.549999,53.340000,53.700001,50.328987,7737300
2015-05-07,53.970001,54.400002,53.820000,54.060001,50.666389,5846600
2015-05-08,54.500000,55.169998,54.340000,54.700001,51.266212,4814600
2015-05-11,54.619999,54.750000,54.310001,54.439999,51.022533,4204100
2015-05-12,54.200001,54.590000,53.750000,54.169998,50.769485,4315500
2015-05-13,54.160000,54.959999,54.130001,54.689999,51.256840,4332600
2015-05-14,55.119999,55.860001,55.000000,55.610001,52.119087,4109300
2015-05-15,55.900002,56.000000,55.270000,55.610001,52.119087,4165300
2015-05-18,55.509998,55.900002,55.279999,55.790001,52.287788,3856200
2015-05-19,55.889999,56.130001,55.570000,55.779999,52.278408,4848500
2015-05-20,55.810001,56.270000,55.560001,55.630001,52.137833,4179300
2015-05-21,55.509998,56.000000,55.259998,55.500000,52.015987,4260800
2015-05-22,55.230000,55.599998,55.230000,55.369999,51.894146,5419700
2015-05-26,55.250000,55.250000,54.200001,54.560001,51.135006,5312000
2015-05-27,54.709999,56.230000,54.590000,55.970001,52.456490,7278200
2015-05-28,55.959999,56.400002,55.720001,55.910000,52.400253,6851200
2015-05-29,56.020000,56.340000,55.570000,55.919998,52.409626,5904300
2015-06-01,55.700001,56.340000,55.419998,55.709999,52.212811,4576000
2015-06-02,55.419998,55.599998,54.880001,55.250000,51.781685,4484600
2015-06-03,55.459999,55.580002,54.820000,54.889999,51.444286,3659000
2015-06-04,54.660000,54.880001,53.830002,53.980000,50.591412,6640700
2015-06-05,53.980000,54.259998,53.580002,53.790001,50.413338,3650400
2015-06-08,53.669998,53.720001,52.709999,52.820000,49.504227,4571700
2015-06-09,52.840000,53.290001,52.439999,52.919998,49.597954,4414300
2015-06-10,53.139999,54.389999,52.919998,54.189999,50.788231,6930600
2015-06-11,54.169998,54.259998,53.570000,53.639999,50.272755,4711200
2015-06-12,53.349998,53.509998,52.990002,53.009998,49.682301,4174100
2015-06-15,52.450001,53.110001,52.320000,53.049999,49.719788,4895300
2015-06-16,52.910000,53.200001,52.660000,53.090000,49.757275,2702200
2015-06-17,53.310001,53.529999,52.869999,53.290001,49.944725,3465700
2015-06-18,53.480000,54.369999,53.340000,54.220001,50.816345,5911000
2015-06-19,54.250000,54.590000,53.540001,54.509998,51.088139,9948600
2015-06-22,54.619999,55.520000,54.619999,55.500000,52.015987,9503400
2015-06-23,55.310001,55.599998,54.709999,54.830002,51.388054,5055800
2015-06-24,54.650002,54.810001,53.930000,53.990002,50.600784,4203500
2015-06-25,54.230000,54.419998,53.740002,53.799999,50.422707,3759600
2015-06-26,53.389999,53.750000,52.430000,52.900002,49.579208,7860300
2015-06-29,52.560001,52.660000,51.470001,51.520000,48.285843,6566400
2015-06-30,51.980000,51.990002,51.299999,51.509998,48.276466,5260600
2015-07-01,52.150002,52.310001,51.759998,51.910000,48.651356,9820200
2015-07-02,52.189999,52.240002,51.770000,51.970001,48.707584,3642400
2015-07-06,51.450001,52.009998,51.060001,51.389999,48.163994,4251200
2015-07-07,51.310001,51.459999,49.980000,51.209999,47.995293,8205800
2015-07-08,50.619999,50.689999,49.459999,49.529999,46.420761,11806400
2015-07-09,50.049999,50.400002,48.090000,48.110001,45.089909,22612200
2015-07-10,48.930000,49.270000,48.599998,49.009998,45.933399,8448900
2015-07-13,49.200001,49.549999,49.000000,49.330002,46.233311,4937600
2015-07-14,49.389999,50.000000,49.310001,49.759998,46.636318,6500100
2015-07-15,49.230000,49.799999,49.150002,49.490002,46.383274,5461600
2015-07-16,49.480000,49.650002,48.779999,49.360001,46.261433,7401200
