Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,82.599998,82.989998,81.400002,82.070000,82.070000,1098000
2015-01-05,81.730003,82.360001,80.949997,81.029999,81.029999,1119900
2015-01-06,81.279999,81.809998,78.680000,78.790001,78.790001,2466500
2015-01-07,79.510002,79.540001,78.389999,78.849998,78.849998,1431900
2015-01-08,79.129997,80.080002,79.080002,79.779999,79.779999,1464000
2015-01-09,80.169998,80.599998,78.309998,78.900002,78.900002,1364400
2015-01-12,80.209999,82.250000,80.209999,80.739998,80.739998,1740000
2015-01-13,81.269997,82.589996,79.059998,80.000000,80.000000,1450600
2015-01-14,79.129997,79.470001,77.010002,77.739998,77.739998,2953200
2015-01-15,78.000000,79.769997,77.169998,79.160004,79.160004,2625400
2015-01-16,79.120003,81.250000,79.120003,80.610001,80.610001,2618900
2015-01-20,80.750000,81.089996,79.629997,80.639999,80.639999,1051100
2015-01-21,80.279999,81.760002,79.839996,79.959999,79.959999,1745500
2015-01-22,80.000000,82.500000,79.610001,82.150002,82.150002,1335500
2015-01-23,82.459999,84.309998,82.250000,82.980003,82.980003,1954700
2015-01-26,82.730003,83.610001,82.029999,82.459999,82.459999,2464600
2015-01-27,81.000000,81.599998,80.300003,80.610001,80.610001,2638700
2015-01-28,78.070000,79.000000,74.699997,75.059998,75.059998,9530400
2015-01-29,75.720001,76.440002,73.650002,76.190002,76.190002,5157000
2015-01-30,75.459999,78.129997,75.089996,77.099998,77.099998,4398500
2015-02-02,76.750000,79.269997,76.169998,79.220001,79.220001,2674300
2015-02-03,79.339996,80.459999,79.309998,80.029999,80.029999,2145600
2015-02-04,79.779999,81.379997,79.550003,80.730003,80.730003,1861900
2015-02-05,81.220001,81.230003,79.440002,79.440002,79.440002,2225100
2015-02-06,79.599998,80.269997,78.400002,78.580002,78.580002,2073800
2015-02-09,78.250000,78.910004,77.430000,77.510002,77.510002,2018000
2015-02-10,79.360001,79.410004,78.110001,78.769997,78.769997,2607800
2015-02-11,79.250000,82.300003,79.220001,81.650002,81.650002,3959700
2015-02-12,81.989998,83.889999,81.529999,83.620003,83.620003,2036700
2015-02-13,83.860001,84.930000,83.320000,84.680000,84.680000,1386200
2015-02-17,84.220001,84.500000,83.500000,83.940002,83.940002,1138100
2015-02-18,84.120003,85.209999,84.029999,84.739998,84.739998,1173200
2015-02-19,84.629997,85.129997,84.239998,84.680000,84.680000,802800
2015-02-20,84.580002,85.349998,84.519997,85.160004,85.160004,777200
2015-02-23,84.720001,85.000000,82.879997,83.300003,83.300003,1433000
2015-02-24,82.739998,83.470001,81.690002,83.400002,83.400002,1743500
2015-02-25,83.389999,85.589996,83.169998,84.500000,84.500000,1470900
2015-02-26,85.320000,85.620003,83.480003,83.980003,83.980003,1170500
2015-02-27,84.110001,85.339996,83.980003,85.070000,85.070000,1545400
2015-03-02,84.419998,86.900002,84.279999,86.589996,86.589996,1810600
2015-03-03,86.169998,86.599998,85.000000,85.970001,85.970001,1136100
2015-03-04,85.849998,86.230003,84.949997,86.080002,86.080002,1596200
2015-03-05,86.029999,86.910004,85.370003,86.589996,86.589996,1522600
2015-03-06,86.419998,86.790001,84.300003,85.190002,85.190002,1734300
2015-03-09,85.919998,86.290001,84.680000,84.779999,84.779999,1259600
2015-03-10,84.629997,85.230003,82.839996,83.089996,83.089996,1742400
2015-03-11,83.040001,83.379997,80.750000,81.010002,81.010002,1816400
2015-03-12,80.739998,81.699997,80.699997,81.300003,81.300003,1038100
2015-03-13,81.040001,81.900002,80.379997,81.150002,81.150002,898800
2015-03-16,81.150002,81.879997,80.339996,81.559998,81.559998,1397100
2015-03-17,81.379997,82.360001,81.029999,81.949997,81.949997,1349600
2015-03-18,81.699997,83.389999,81.110001,82.989998,82.989998,1534400
2015-03-19,82.930000,83.680000,81.760002,81.769997,81.769997,1091200
2015-03-20,82.470001,83.599998,82.320000,82.820000,82.820000,1326800
2015-03-23,82.629997,84.279999,82.580002,83.269997,83.269997,1331500
2015-03-24,83.510002,85.510002,83.510002,84.279999,84.279999,1625200
2015-03-25,84.300003,84.519997,81.820000,82.029999,82.029999,1254000
2015-03-26,81.690002,82.900002,81.669998,82.279999,82.279999,1262900
2015-03-27,81.870003,82.860001,81.510002,82.059998,82.059998,805400
2015-03-30,82.519997,83.320000,82.320000,82.980003,82.980003,810600
2015-03-31,83.050003,83.050003,81.970001,82.010002,82.010002,585100
2015-04-01,81.900002,82.739998,81.639999,82.099998,82.099998,1558700
2015-04-02,82.309998,82.410004,79.930000,80.360001,80.360001,2196300
2015-04-06,82.250000,84.349998,81.989998,83.400002,83.400002,1880100
2015-04-07,83.400002,84.889999,83.400002,83.480003,83.480003,1062100
2015-04-08,84.190002,84.419998,82.459999,82.580002,82.580002,1910900
2015-04-09,82.279999,82.709999,81.620003,82.000000,82.000000,1803600
2015-04-10,81.739998,83.570000,81.099998,83.379997,83.379997,1660600
2015-04-13,83.099998,84.000000,82.989998,83.099998,83.099998,1123100
2015-04-14,83.129997,84.330002,82.980003,84.040001,84.040001,1286600
2015-04-15,84.209999,85.470001,83.900002,85.059998,85.059998,1031300
2015-04-16,85.550003,86.190002,84.489998,84.639999,84.639999,1256700
2015-04-17,84.089996,85.209999,83.849998,85.070000,85.070000,1508600
2015-04-20,85.239998,85.620003,83.660004,84.269997,84.269997,1789600
2015-04-21,84.779999,85.639999,84.320000,85.400002,85.400002,2655200
2015-04-22,86.989998,92.199997,86.989998,90.970001,90.970001,7366100
2015-04-23,90.430000,90.889999,89.000000,89.089996,89.089996,2249700
2015-04-24,89.489998,89.489998,87.680000,88.230003,88.230003,1936200
2015-04-27,88.430000,90.040001,88.279999,88.989998,88.989998,1613700
2015-04-28,88.900002,90.360001,88.470001,89.680000,89.680000,1322100
2015-04-29,89.580002,90.150002,88.470001,89.120003,89.120003,1075900
2015-04-30,89.029999,89.930000,87.669998,88.099998,88.099998,754900
2015-05-01,88.150002,88.589996,87.360001,87.470001,87.470001,1180800
2015-05-04,87.040001,88.639999,87.040001,87.690002,87.690002,1425100
2015-05-05,87.800003,88.370003,87.050003,87.699997,87.699997,977900
2015-05-06,87.889999,88.389999,86.470001,86.790001,86.790001,1192500
2015-05-07,86.430000,86.779999,85.830002,86.349998,86.349998,1003900
2015-05-08,86.989998,88.750000,86.989998,88.000000,88.000000,1765100
2015-05-11,87.800003,89.660004,87.709999,89.570000,89.570000,1651500
2015-05-12,89.080002,89.180000,87.680000,87.809998,87.809998,1378200
2015-05-13,87.900002,88.279999,87.099998,87.589996,87.589996,848600
2015-05-14,87.860001,88.550003,87.739998,87.940002,87.940002,888800
2015-05-15,87.629997,88.129997,87.309998,87.500000,87.500000,949900
2015-05-18,87.379997,87.980003,87.320000,87.779999,87.779999,1126800
2015-05-19,87.790001,88.080002,87.519997,87.639999,87.639999,630800
2015-05-20,87.760002,88.379997,87.239998,87.519997,87.519997,626300
2015-05-21,87.550003,87.730003,86.830002,87.150002,87.150002,738500
2015-05-22,87.059998,88.000000,86.910004,87.720001,87.720001,1009500
2015-05-26,87.500000,87.629997,86.360001,86.839996,86.839996,1095500
2015-05-27,86.449997,87.050003,85.639999,86.540001,86.540001,1420100
2015-05-28,86.220001,87.300003,86.029999,87.120003,87.120003,840400
2015-05-29,86.910004,87.739998,86.769997,87.320000,87.320000,1256800
2015-06-01,87.320000,87.959999,86.989998,87.209999,87.209999,1130600
2015-06-02,87.110001,87.879997,86.900002,87.720001,87.720001,874000
2015-06-03,88.000000,90.389999,87.889999,89.050003,89.050003,1406700
2015-06-04,88.250000,89.269997,87.680000,88.440002,88.440002,1374300
2015-06-05,88.320000,89.879997,87.989998,89.449997,89.449997,1077300
2015-06-08,89.209999,89.209999,87.769997,88.230003,88.230003,1168200
2015-06-09,88.239998,88.489998,87.400002,87.940002,87.940002,533200
2015-06-10,88.639999,91.000000,88.379997,90.720001,90.720001,1846500
2015-06-11,91.000000,91.000000,89.129997,89.360001,89.360001,1720400
2015-06-12,89.050003,89.360001,88.440002,88.910004,88.910004,1065700
2015-06-15,88.209999,88.699997,87.430000,88.410004,88.410004,847400
2015-06-16,88.169998,89.599998,88.169998,89.349998,89.349998,586200
2015-06-17,89.599998,90.570000,89.290001,89.959999,89.959999,964700
2015-06-18,89.559998,89.930000,88.989998,89.160004,89.160004,836900
2015-06-19,89.000000,89.010002,88.080002,88.750000,88.750000,1416700
2015-06-22,89.449997,90.400002,88.959999,89.889999,89.889999,841700
2015-06-23,89.779999,90.849998,89.690002,90.690002,90.690002,930000
2015-06-24,91.900002,91.930000,90.040001,90.360001,90.360001,1128200
2015-06-25,90.330002,90.889999,89.199997,89.339996,89.339996,905600
2015-06-26,89.269997,89.779999,87.040001,87.589996,87.589996,1469200
2015-06-29,86.900002,87.160004,85.699997,85.849998,85.849998,1073600
2015-06-30,86.449997,86.779999,85.580002,85.739998,85.739998,864900
2015-07-01,86.440002,87.169998,84.480003,84.860001,84.860001,1547100
2015-07-02,84.790001,85.489998,84.790001,85.199997,85.199997,822700
2015-07-06,83.000000,83.510002,82.449997,83.059998,83.059998,1548700
2015-07-07,82.739998,83.099998,80.510002,82.980003,82.980003,1741700
2015-07-08,83.010002,83.870003,81.550003,81.900002,81.900002,1121200
2015-07-09,82.430000,83.089996,81.279999,81.610001,81.610001,1036000
2015-07-10,82.519997,82.589996,81.010002,82.070000,82.070000,1022300
2015-07-13,82.870003,84.010002,82.709999,83.800003,83.800003,1074700
2015-07-14,83.900002,84.669998,83.500000,84.309998,84.309998,1018900
2015-07-15,84.150002,84.570000,83.930000,84.169998,84.169998,1068300
2015-07-16,84.620003,85.080002,84.029999,85.040001,85.040001,1122600
2015-07-17,85.110001,85.110001,84.099998,84.540001,84.540001,883600
2015-07-20,84.559998,84.949997,83.680000,84.019997,84.019997,961100
2015-07-21,83.860001,84.379997,83.059998,83.190002,83.190002,1748600
2015-07-22,82.720001,87.650002,82.519997,86.110001,86.110001,3057000
2015-07-23,86.599998,87.910004,86.500000,87.300003,87.300003,1749100
2015-07-24,87.300003,87.839996,85.959999,86.900002,86.900002,1018400
2015-07-27,86.120003,86.480003,84.940002,85.279999,85.279999,1287200
2015-07-28,85.449997,86.690002,84.680000,86.489998,86.489998,838200
2015-07-29,86.239998,87.570000,86.029999,87.230003,87.230003,953400
2015-07-30,87.089996,88.830002,86.360001,88.510002,88.510002,1286100
2015-07-31,88.400002,89.459999,88.050003,89.129997,89.129997,945500
2015-08-03,88.540001,91.250000,87.290001,91.139999,91.139999,3591200
2015-08-04,90.709999,91.559998,89.900002,90.940002,90.940002,1856000
2015-08-05,91.330002,93.430000,85.720001,86.220001,86.220001,4375700
2015-08-06,86.220001,86.400002,82.930000,83.040001,83.040001,4982600
2015-08-07,82.279999,86.080002,82.279999,84.860001,84.860001,2289600
2015-08-10,85.260002,87.860001,84.750000,86.949997,86.949997,1669400
2015-08-11,86.410004,86.830002,84.900002,85.769997,85.769997,756900
2015-08-12,85.260002,86.980003,84.730003,86.540001,86.540001,1064100
2015-08-13,86.779999,87.449997,85.800003,87.059998,87.059998,873000
2015-08-14,87.099998,89.070000,86.919998,88.489998,88.489998,1252100
2015-08-17,87.540001,89.169998,87.540001,89.010002,89.010002,1004200
2015-08-18,88.610001,89.790001,87.910004,89.150002,89.150002,1052100
2015-08-19,88.360001,89.099998,88.099998,88.459999,88.459999,844900
2015-08-20,87.970001,88.239998,86.190002,86.430000,86.430000,880000
2015-08-21,85.449997,86.080002,84.379997,84.379997,84.379997,1465400
2015-08-24,80.589996,83.449997,78.680000,82.010002,82.010002,2229700
2015-08-25,83.870003,84.180000,81.120003,81.220001,81.220001,2927500
2015-08-26,79.080002,79.930000,76.080002,78.089996,78.089996,4961400
2015-08-27,79.029999,80.000000,77.980003,79.430000,79.430000,2793700
2015-08-28,79.540001,80.010002,76.040001,77.550003,77.550003,3652900
2015-08-31,77.589996,81.360001,76.379997,79.150002,79.150002,3973100
2015-09-01,78.000000,80.519997,78.000000,79.099998,79.099998,2560300
2015-09-02,80.250000,81.730003,79.279999,80.199997,80.199997,1489600
2015-09-03,80.699997,80.949997,79.230003,79.820000,79.820000,1749500
2015-09-04,79.080002,80.889999,78.820000,79.550003,79.550003,2124000
2015-09-08,80.260002,80.680000,79.699997,80.500000,80.500000,2046800
2015-09-09,80.919998,81.820000,78.070000,78.389999,78.389999,3726700
2015-09-10,78.410004,80.139999,78.209999,79.260002,79.260002,1201000
2015-09-11,79.669998,80.709999,79.660004,80.559998,80.559998,1269800
2015-09-14,80.559998,80.910004,79.570000,79.980003,79.980003,606500
2015-09-15,80.129997,80.720001,79.570000,80.489998,80.489998,805500
2015-09-16,80.489998,81.000000,80.330002,80.959999,80.959999,728900
2015-09-17,80.440002,81.349998,80.260002,80.720001,80.720001,920700
2015-09-18,79.690002,80.110001,78.800003,79.099998,79.099998,1650700
2015-09-21,79.599998,80.599998,79.070000,79.830002,79.830002,639500
2015-09-22,79.019997,79.820000,77.949997,79.180000,79.180000,976700
2015-09-23,78.959999,79.610001,78.099998,78.629997,78.629997,631900
2015-09-24,78.339996,79.089996,77.639999,78.820000,78.820000,688600
2015-09-25,79.309998,79.980003,78.699997,79.120003,79.120003,651900
2015-09-28,78.500000,79.070000,76.860001,77.129997,77.129997,780600
2015-09-29,77.000000,78.309998,76.580002,77.410004,77.410004,992100
2015-09-30,78.370003,78.949997,77.959999,78.790001,78.790001,1308400
2015-10-01,78.739998,80.760002,78.739998,80.620003,80.620003,1445400
2015-10-02,78.750000,79.760002,77.459999,79.709999,79.709999,2313800
2015-10-05,80.190002,82.029999,78.029999,79.489998,79.489998,4060300
2015-10-06,79.690002,81.510002,79.010002,81.279999,81.279999,1915800
2015-10-07,81.489998,82.349998,80.589996,82.089996,82.089996,1060900
2015-10-08,79.790001,79.790001,76.410004,77.300003,77.300003,4928600
2015-10-09,77.330002,79.800003,77.199997,78.650002,78.650002,3478800
2015-10-12,73.900002,74.220001,69.750000,72.269997,72.269997,17857200
2015-10-13,70.860001,70.910004,68.279999,69.309998,69.309998,9646000
2015-10-14,69.199997,69.199997,67.480003,67.970001,67.970001,7640100
2015-10-15,68.250000,68.760002,67.550003,68.459999,68.459999,5594300
2015-10-16,69.160004,70.190002,68.639999,69.620003,69.620003,3655800
2015-10-19,69.470001,69.610001,68.760002,69.220001,69.220001,2047800
2015-10-20,69.169998,69.320000,68.360001,68.760002,68.760002,2692400
2015-10-21,59.090000,59.900002,52.720001,55.419998,55.419998,20969500
2015-10-22,54.480000,56.860001,54.299999,56.790001,56.790001,8330500
2015-10-23,57.360001,58.310001,56.330002,58.180000,58.180000,5118500
2015-10-26,58.820000,61.070000,58.799999,59.740002,59.740002,4741900
2015-10-27,60.220001,60.880001,58.480000,58.639999,58.639999,3301300
2015-10-28,59.470001,61.070000,58.919998,60.900002,60.900002,2651500
2015-10-29,60.619999,60.730000,58.259998,58.520000,58.520000,2617300
2015-10-30,58.919998,60.230000,58.580002,60.150002,60.150002,2293900
2015-11-02,59.910000,60.000000,59.049999,59.549999,59.549999,2858700
2015-11-03,59.639999,59.939999,58.500000,59.029999,59.029999,2350700
