Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,69.790001,70.360001,69.639999,70.040001,66.930580,683600
2015-01-05,68.300003,68.360001,67.059998,67.199997,64.216660,1678800
2015-01-06,65.930000,66.459999,65.360001,65.680000,62.764141,1478900
2015-01-07,64.980003,65.459999,64.599998,65.089996,62.200329,1483100
2015-01-08,64.510002,66.309998,64.500000,66.129997,63.194164,1184700
2015-01-09,65.230003,65.269997,64.419998,65.029999,62.142998,1037500
2015-01-12,65.760002,68.099998,65.480003,67.699997,64.694466,3279400
2015-01-13,67.099998,67.800003,66.419998,66.889999,63.920418,1707100
2015-01-14,66.680000,67.389999,66.309998,66.970001,63.996868,841200
2015-01-15,67.089996,67.480003,66.599998,66.879997,63.910870,1060900
2015-01-16,66.230003,67.239998,65.800003,67.110001,64.130653,1143700
2015-01-20,63.650002,63.759998,62.820000,63.560001,60.738258,2627600
2015-01-21,63.610001,64.129997,63.400002,64.080002,61.235172,2283800
2015-01-22,63.900002,64.620003,63.650002,64.349998,61.493183,1517800
2015-01-23,64.279999,65.059998,64.199997,64.519997,61.655636,966600
2015-01-26,65.410004,66.410004,65.150002,66.099998,63.165489,1736100
2015-01-27,65.620003,65.919998,65.220001,65.500000,62.592129,1302100
2015-01-28,65.190002,65.330002,64.129997,64.190002,61.340290,981200
2015-01-29,65.010002,65.949997,64.900002,65.820000,62.897926,1354800
2015-01-30,65.629997,66.000000,65.199997,65.360001,62.458347,967900
2015-02-02,66.169998,67.019997,65.930000,66.949997,63.977760,1187300
2015-02-03,67.739998,68.419998,67.459999,68.379997,65.344269,1240000
2015-02-04,68.199997,68.230003,67.309998,67.389999,64.398224,1333800
2015-02-05,68.050003,68.739998,67.779999,68.709999,65.659622,1129300
2015-02-06,67.169998,67.400002,66.489998,66.669998,63.710186,2684000
2015-02-09,66.300003,66.709999,66.169998,66.309998,63.366169,1734800
2015-02-10,67.230003,67.470001,66.470001,67.330002,64.340881,1805900
2015-02-11,66.529999,67.040001,66.489998,66.839996,63.872643,874800
2015-02-12,68.669998,69.129997,68.589996,69.089996,66.022751,751700
2015-02-13,69.320000,69.589996,68.949997,69.089996,66.022751,639600
2015-02-17,69.059998,69.199997,68.540001,69.080002,66.013206,476500
2015-02-18,68.239998,69.150002,68.160004,68.959999,65.898529,571200
2015-02-19,68.510002,69.250000,68.339996,68.879997,65.822075,432600
2015-02-20,68.480003,69.949997,68.309998,69.629997,66.538773,813000
2015-02-23,69.709999,70.010002,69.519997,69.680000,66.586563,563100
2015-02-24,69.599998,70.160004,69.309998,69.870003,66.768127,1034200
2015-02-25,70.070000,70.269997,69.870003,70.180000,67.064362,568800
2015-02-26,69.820000,70.300003,69.680000,69.849998,66.749008,646700
2015-02-27,70.300003,70.500000,70.019997,70.190002,67.073921,527600
2015-03-02,70.190002,71.139999,70.190002,71.110001,67.953072,2479100
2015-03-03,70.930000,71.000000,70.160004,70.410004,67.284149,812300
2015-03-04,69.660004,69.959999,69.190002,69.879997,66.777679,1311000
2015-03-05,70.180000,70.260002,69.809998,69.980003,66.873253,497500
2015-03-06,69.000000,69.309998,68.330002,68.480003,65.439842,886800
